"Time","web_server_01","web_server_02","web_server_03","web_server_04"
2022-05-26 01:33:50,28.1,27.1,28.4,30.3
2022-05-26 01:34:00,27.8,28.0,27.7,28.4
2022-05-26 01:34:10,29.8,28.7,26.9,28.4
2022-05-26 01:34:20,31.9,29.7,27.9,28.8
2022-05-26 01:34:30,29.7,28.3,28.8,28.1
2022-05-26 01:34:40,29.0,28.0,28.0,26.8
2022-05-26 01:34:50,29.9,28.4,27.9,28.1
2022-05-26 01:35:00,29.6,26.2,29,30.3
2022-05-26 01:35:10,31.4,29.5,28.3,29.1
2022-05-26 01:35:20,33,34.4,31.6,30.0
2022-05-26 01:35:30,30.8,31.2,36.2,31.8
2022-05-26 01:35:40,29.1,27.4,31.3,30.2
2022-05-26 01:35:50,28.7,29.8,26.6,27.9
2022-05-26 01:36:00,27.3,31.1,27.7,28.1
2022-05-26 01:36:10,30.0,31.3,28.9,27.8
2022-05-26 01:36:20,31.8,32.2,29.1,28
2022-05-26 01:36:30,29.6,29.7,28.5,29.3
2022-05-26 01:36:40,28.8,27.1,28.4,29.1
2022-05-26 01:36:50,29.3,27.4,29.8,28.9
2022-05-26 01:37:00,28.5,28.6,30.4,29.3
2022-05-26 01:37:10,28.6,30.2,28,28.1
2022-05-26 01:37:20,29.4,31.7,27.6,27.7
2022-05-26 01:37:30,28.1,30.1,29.5,29.6
2022-05-26 01:37:40,28.5,28.4,30.2,29.8
2022-05-26 01:37:50,28.7,27.5,28.4,28.7
2022-05-26 01:38:00,26.8,27.7,26.2,29.8
2022-05-26 01:38:10,27.9,28.5,27.2,30.5
2022-05-26 01:38:20,30.0,28.7,29.9,29.1
2022-05-26 01:38:30,30.8,27.9,28.8,29.6
2022-05-26 01:38:40,30.4,29.0,28.1,30.1
2022-05-26 01:38:50,27.7,28.5,28.9,27.7
2022-05-26 01:39:00,28.1,25.6,27.2,27
2022-05-26 01:39:10,30.2,26.1,28.2,28.3
2022-05-26 01:39:20,27.8,25.7,29.5,28.7
2022-05-26 01:39:30,26.2,25.8,27.9,27.7
2022-05-26 01:39:40,26.3,28.2,27.7,26.4
2022-05-26 01:39:50,27.1,29.8,28.7,26.8
2022-05-26 01:40:00,29.7,28.4,29.4,27.6
2022-05-26 01:40:10,29.1,25.1,31.2,28.1
2022-05-26 01:40:20,27.8,26.6,29.7,30.1
2022-05-26 01:40:30,28.8,30.9,27.8,25.5
2022-05-26 01:40:40,29.7,31.4,29.5,28.9
2022-05-26 01:40:50,27.9,28.7,29.4,29.9
2022-05-26 01:41:00,28.8,26.8,27.3,29.1
2022-05-26 01:41:10,30,28.3,25.9,28.4
2022-05-26 01:41:20,27.5,27.6,26.6,27.3
2022-05-26 01:41:30,29,26.8,28.8,27.3
2022-05-26 01:41:40,30,28.1,29.3,28.8
2022-05-26 01:41:50,29.4,29.4,29.8,29.2
2022-05-26 01:42:00,28,28.5,30.3,27.5
2022-05-26 01:42:10,27.1,26.6,28.1,27.2
2022-05-26 01:42:20,28.5,30.5,26.4,27.2
2022-05-26 01:42:30,30.3,30.5,27.5,28.5
2022-05-26 01:42:40,28.9,27.6,27.1,31.3
2022-05-26 01:42:50,27.3,28.4,27.9,31.1
2022-05-26 01:43:00,29.5,30.7,29.4,29.1
2022-05-26 01:43:10,30.1,31.1,30.5,28.7
2022-05-26 01:43:20,29.0,30.1,31.8,30.6
2022-05-26 01:43:30,27.9,29.6,30.0,30.7
2022-05-26 01:43:40,28.8,28.1,29,29.7
2022-05-26 01:43:50,28.6,27.2,28.6,29.6
2022-05-26 01:44:00,28.2,27.1,27.1,29.4
2022-05-26 01:44:10,28.1,27.4,27.2,28.6
2022-05-26 01:44:20,27.1,28.2,26.9,27.8
2022-05-26 01:44:30,26.9,28.5,26.7,28.6
2022-05-26 01:44:40,25.3,27.1,25.6,27.9
2022-05-26 01:44:50,26.1,26.5,26.2,25.9
2022-05-26 01:45:00,29.1,28.3,27.9,26.2
2022-05-26 01:45:10,29.8,28.5,27.8,28.4
2022-05-26 01:45:20,28.3,26.4,27.3,29.5
2022-05-26 01:45:30,27.7,26.9,27.2,27.7
2022-05-26 01:45:40,29.0,28.6,28.8,26.0
2022-05-26 01:45:50,29,29.0,29.8,26.6
2022-05-26 01:46:00,27.9,28.7,28.9,27.3
2022-05-26 01:46:10,28.2,28.8,28.5,28.3
2022-05-26 01:46:20,27.9,29.1,28.1,30.3
2022-05-26 01:46:30,27.5,28.6,28.4,31.2
2022-05-26 01:46:40,28.5,26.4,29.3,30.2
2022-05-26 01:46:50,28.6,26.5,26.6,28.5
